colony,date,distance,from,from_ID,from_ID_date,from_nest_size,from_x,from_y,network_ID,strength,to,to_ID,to_ID_date,to_nest_size,to_x,to_y,trail_ID,trail_type,tree_type,year,treatment,dataset
2b,26/07/2012,16.75,N1,2b_N1,2b_N1_2012-07-26,39.297,-5.025029215,0.674433412,2b_2012-07-26,0.077,T1,2b_T1,2b_T1_2012-07-26,1,-5.025040612,17.42443341,2b_2012-07-26_N1_T1,foraging,regular,2012,exclusion,Estimation
2b,25/08/2015,15.57870355,N11,2b_N11,2b_N11_2015-08-25,6.896,-3.277552392,1.944049399,2b_2015-08-25,0.04,T1,2b_T1,2b_T1_2015-08-25,1,-5.025040612,17.42443341,2b_2015-08-25_N11_T1,foraging,regular,2015,exclusion,Estimation
2b,28/08/2013,16.75,N1,2b_N1,2b_N1_2013-08-28,20.35,-5.025029215,0.674433412,2b_2013-08-28,0.067,T1,2b_T1,2b_T1_2013-08-28,1,-5.025040612,17.42443341,2b_2013-08-28_N1_T1,foraging,regular,2013,exclusion,Estimation
2b,25/08/2014,10.04133226,N14,2b_N14,2b_N14_2014-08-25,1.991,-5.974194222,7.428061014,2b_2014-08-25,0.2,T1,2b_T1,2b_T1_2014-08-25,1,-5.025040612,17.42443341,2b_2014-08-25_N14_T1,foraging,regular,2014,exclusion,Estimation
2b,22/08/2017,15.57870355,N11,2b_N11,2b_N11_2017-08-22,22.935,-3.277552392,1.944049399,2b_2017-08-22,0.2,T1,2b_T1,2b_T1_2017-08-22,1,-5.025040612,17.42443341,2b_2017-08-22_N11_T1,foraging,regular,2017,exclusion,Empirical exclusion
2b,12/06/2018,15.57870355,N11,2b_N11,2b_N11_2018-06-12,33.25990283,-3.277552392,1.944049399,2b_2018-06-12,0.1,T1,2b_T1,2b_T1_2018-06-12,1,-5.025040612,17.42443341,2b_2018-06-12_N11_T1,foraging,regular,2018,exclusion,Empirical exclusion
2b,27/06/2019,15.57870355,N11,2b_N11,2b_N11_2019-06-27,42.71941353,-3.277552392,1.944049399,2b_2019-06-27,0.05,T1,2b_T1,2b_T1_2019-06-27,1,-5.025040612,17.42443341,2b_2019-06-27_N11_T1,foraging,regular,2019,exclusion,Empirical exclusion
2b,26/07/2012,4.981979891,N2,2b_N2,2b_N2_2012-07-26,53.492,-1.769306861,3.973921644,2b_2012-07-26,0.333,T2,2b_T2,2b_T2_2012-07-26,1,0.741600717,8.276881878,2b_2012-07-26_N2_T2,foraging,regular,2012,exclusion,Estimation
2b,26/07/2012,8.310038823,N4,2b_N4,2b_N4_2012-07-26,13.837,0,0,2b_2012-07-26,0.1,T2,2b_T2,2b_T2_2012-07-26,1,0.741600717,8.276881878,2b_2012-07-26_N4_T2,foraging,regular,2012,exclusion,Estimation
2b,26/07/2012,7,N5,2b_N5,2b_N5_2012-07-26,37.035,6.475667202,4.26184993,2b_2012-07-26,0.5,T2,2b_T2,2b_T2_2012-07-26,1,0.741600717,8.276881878,2b_2012-07-26_N5_T2,foraging,regular,2012,exclusion,Estimation
2b,25/08/2015,7.500557241,N11,2b_N11,2b_N11_2015-08-25,6.896,-3.277552392,1.944049399,2b_2015-08-25,0.029,T2,2b_T2,2b_T2_2015-08-25,1,0.741600717,8.276881878,2b_2015-08-25_N11_T2,foraging,regular,2015,exclusion,Estimation
2b,25/08/2015,8.540722098,N12,2b_N12,2b_N12_2015-08-25,3.18,-1.65708636,0.079916936,2b_2015-08-25,0.111,T2,2b_T2,2b_T2_2015-08-25,1,0.741600717,8.276881878,2b_2015-08-25_N12_T2,foraging,regular,2015,exclusion,Estimation
2b,25/08/2015,7,N5,2b_N5,2b_N5_2015-08-25,21.489,6.475667202,4.26184993,2b_2015-08-25,0.25,T2,2b_T2,2b_T2_2015-08-25,1,0.741600717,8.276881878,2b_2015-08-25_N5_T2,foraging,regular,2015,exclusion,Estimation
2b,22/08/2016,8.540722098,N12,2b_N12,2b_N12_2016-08-22,11.959,-1.65708636,0.079916936,2b_2016-08-22,0.5,T2,2b_T2,2b_T2_2016-08-22,1,0.741600717,8.276881878,2b_2016-08-22_N12_T2,foraging,regular,2016,exclusion,Estimation
2b,22/08/2016,10.60449783,N13,2b_N13,2b_N13_2016-08-22,3.275,11.08476824,5.937168283,2b_2016-08-22,0.017,T2,2b_T2,2b_T2_2016-08-22,1,0.741600717,8.276881878,2b_2016-08-22_N13_T2,foraging,regular,2016,exclusion,Estimation
2b,22/08/2016,14.99715683,N16,2b_N16,2b_N16_2016-08-22,20.467,-5.438933335,-5.387513889,2b_2016-08-22,0.003,T2,2b_T2,2b_T2_2016-08-22,1,0.741600717,8.276881878,2b_2016-08-22_N16_T2,foraging,regular,2016,exclusion,Estimation
