network_ID,colony,date,node_ID,ID,x,y,species,nest.size,year,tree_type,treatment,dataset
10_2012-07-26,10,26/07/2012,10_N1,N1,-20.62376303,-4.042141817,nest,10.08,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N10,N10,8.201877812,-6.483963898,nest,18.056,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N11,N11,6.83379828,-10.24273476,nest,90.064,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N12,N12,12.49746782,-12.28206699,nest,73.247,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N13,N13,12.78855657,-12.35464341,nest,4.964,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N2,N2,-19.75875417,-3.501623845,nest,1.342,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N3,N3,-10.49618896,0.240699711,nest,13.064,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N4,N4,-9.294175946,1.673202668,nest,11.571,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N5,N5,-8.721187098,-2.833689399,nest,23.428,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N6,N6,0,0,nest,70.586,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N7,N7,2.944484959,1.700002449,nest,5.512,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N8,N8,9.078799856,-1.510684525,nest,4.637,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_N9,N9,10.95238094,-0.901920281,nest,78.256,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_T1,T1,-26.26740042,-13.07385578,tree,0,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_T2,T2,-12.14134291,-11.29887896,tree,0,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_T3,T3,-16.07098003,-13.94945476,tree,0,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_T4,T4,-8.269235745,-15.77580051,tree,0,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_T5,T5,-0.664830998,-19.03839541,tree,0,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_T6,T6,0.705487225,-19.64850029,tree,0,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_T7,T7,17.69453584,-21.58144499,tree,0,2012,regular,exclusion,Estimation
10_2012-07-26,10,26/07/2012,10_T8,T8,13.73797786,-12.32148889,tree,0,2012,focal,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N11,N11,6.83379828,-10.24273476,nest,18.086,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N14,N14,11.08970906,-12.97013617,nest,2.021,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N15,N15,2.494818354,-1.27117323,nest,0.754,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N16,N16,-5.319104626,2.610778881,nest,0.707,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N17,N17,11.44442259,-12.66178846,nest,50.712,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N5,N5,-8.721187098,-2.833689399,nest,12.6,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N6,N6,0,0,nest,35.117,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N7,N7,2.944484959,1.700002449,nest,5.115,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N8,N8,9.078799856,-1.510684525,nest,13.218,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_N9,N9,10.95238094,-0.901920281,nest,40.735,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_T2,T2,-12.14134291,-11.29887896,tree,0,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_T3,T3,-16.07098003,-13.94945476,tree,0,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_T5,T5,-0.664830998,-19.03839541,tree,0,2013,regular,exclusion,Estimation
10_2013-08-28,10,28/08/2013,10_T8,T8,13.73797786,-12.32148889,tree,0,2013,focal,exclusion,Estimation
