"dataset","colony","date","num_nests","num_trees","num_foraging","num_internest","trees_to_nests_rat","internest_to_nests_rat","foraging_to_nests_rat","num_components_nests","edge_density","edge_density_nests","network_efficiency","network_efficiency_nests","network_robustness","network_robustness_nests","network_cost","network_cost_nests","resource_capital","resource_variance"
"Estimation","10",2012-07-26,13,8,10,13,0.615384615384615,1,0.769230769230769,1,0.0547619047619048,0.0833333333333333,0.0838402068529797,0.134785641414837,0.923898778594649,0.824996258516221,181.161018140089,62.2096369002041,0.0195023089449793,0.00370982840324019
"Estimation","10",2013-08-28,10,4,7,8,0.4,0.8,0.7,2,0.0824175824175824,0.0888888888888889,0.097706860779169,0.119160574798962,0.87115980355119,0.787485242030697,95.5497204149313,32.9638880280756,0.0101750619155733,0.000471034425226571
"Estimation","10",2014-08-25,9,3,5,8,0.333333333333333,0.888888888888889,0.555555555555556,1,0.0984848484848485,0.111111111111111,0.140162816626245,0.214367941861356,0.870069373284807,0.754322111010009,89.072649355082,37.9797776282554,0.00646941582416289,7.82089527121596e-05
"Estimation","10",2015-08-25,13,3,7,12,0.230769230769231,0.923076923076923,0.538461538461538,2,0.0791666666666667,0.0769230769230769,0.0935115648360309,0.116737998764144,0.942730753680405,0.864673854736616,100.354267431375,37.8919785899925,0.00387333945449,6.36428565249774e-05
"Estimation","10",2016-08-22,13,4,6,14,0.307692307692308,1.07692307692308,0.461538461538462,1,0.0735294117647059,0.0897435897435897,0.0721522692952671,0.0874813443273057,0.930782959839025,0.875492904181429,143.523711883496,76.1406935844767,0.0055430395251342,0.000114950118072669
"Empirical exclusion","10",2017-08-22,16,1,1,10,0.0625,0.625,0.0625,6,0.0404411764705882,0.0416666666666667,0.0547802693209455,0.055004324186464,0.837662337662338,0.833498513379584,43.4745139030119,40.7479646313307,0.000222610553966364,6.44220963583746e-07
"Empirical exclusion","10",2018-06-12,9,2,2,4,0.222222222222222,0.444444444444444,0.222222222222222,5,0.0545454545454545,0.0555555555555556,0.0377998567452459,0.0375974794888454,0.769230769230769,0.7,36.0732652800426,15.2498275877931,0.00233632235699741,1.37407232207407e-05
"Empirical exclusion","10",2019-06-27,7,1,1,6,0.142857142857143,0.857142857142857,0.142857142857143,1,0.125,0.142857142857143,0.100101141044587,0.096733694235456,0.730941704035874,0.6987087517934,47.5709568352026,44.8444075635215,0.0039960058744062,0.000111776440638022
"Empirical exclusion","10",2020-08-13,3,2,2,2,0.666666666666667,0.666666666666667,0.666666666666667,1,0.2,0.333333333333333,0.144434683847827,0.194107516481019,0.625,0.4,22.333972579042,8.75484866411538,0.000899973157837724,2.42985505448521e-06
"Empirical exclusion","10",2021-07-29,7,4,7,5,0.571428571428571,0.714285714285714,1,2,0.109090909090909,0.119047619047619,0.113163978513866,0.181442083861723,0.931296296296296,0.655172413793103,98.2002536151138,38.9124412152261,0.0642067063051929,0.00771240958166217
"Estimation","12",2012-07-26,6,7,8,6,1.16666666666667,1,1.33333333333333,1,0.0897435897435897,0.2,0.156915003834149,0.202556995337896,0.897059778022977,0.799435028248588,71.3959763754491,38.0320206813741,0.00327650702702299,5.28011736946511e-06
"Estimation","12",2013-08-28,3,7,8,2,2.33333333333333,0.666666666666667,2.66666666666667,1,0.111111111111111,0.333333333333333,0.130086258557445,0.247401764256877,0.847448275862069,0.4,65.8520717961901,8.88999999923374,0.00407306711658434,4.11497273792833e-06
"Estimation","12",2014-08-25,3,7,8,2,2.33333333333333,0.666666666666667,2.66666666666667,1,0.111111111111111,0.333333333333333,0.130086258557445,0.247401764256877,0.847448275862069,0.4,65.8520717961901,8.88999999923374,0.0243644379385649,3.42191280880776e-05
"Estimation","12",2015-08-25,11,11,18,10,1,0.909090909090909,1.63636363636364,2,0.0606060606060606,0.0909090909090909,0.15637336253899,0.260450112907914,0.959390983704056,0.842806267806268,175.68285764337,62.2978672282699,0.0629910251549179,0.0055346409178838
"Estimation","12",2016-08-22,7,6,10,6,0.857142857142857,0.857142857142857,1.42857142857143,1,0.102564102564103,0.142857142857143,0.194188924340367,0.20006586462354,0.922334754797441,0.714285714285714,71.4621658208896,28.5024437474867,0.00905733750895726,9.07085144058524e-05
"Empirical exclusion","12",2017-08-22,11,11,14,9,1,0.818181818181818,1.27272727272727,2,0.0497835497835498,0.0818181818181818,0.0947029604080387,0.112853535068216,0.913048336595662,0.750341793972538,134.791268847955,46.0800228006064,0.00885632474269948,0.000127139999566665
"Empirical exclusion","12",2018-06-12,9,9,12,7,1,0.777777777777778,1.33333333333333,2,0.0620915032679739,0.0972222222222222,0.103758929287045,0.105841502164684,0.918827968798401,0.730941704035874,116.874794753923,42.3975607443645,0.00863399542126605,8.35804916800425e-05
"Empirical exclusion","12",2019-06-27,5,8,9,4,1.6,0.8,1.8,1,0.0833333333333333,0.2,0.121563914415021,0.246350904169611,0.850879744074451,0.625,89.9595576731924,13.639999999628,0.00586398175571906,2.81942000271141e-05
"Empirical exclusion","12",2020-08-13,1,7,7,0,7,0,7,1,0.125,NA,0.0819718072339163,NA,0.771428571428571,NA,76.6341788457642,0,NA,NA
